Yemek Adı,Mutfağı,Süresi,Malzemeler,Yapılış
Mayalı Bohça,Türk,40-60dk,"Hamur malzemesi: 
42 gr yasmaya 
2 su bardagi sut 

1 su bardagi sivi yag 
1 yemek kasigi tozseker 
2 yumurta aki(sarisi uzeri için) 
Tuz,alabildigi kadar un 
Iç malzeme: 
Beyaz peynir,maydanoz,istege bagli karabiber ve kirmizi pul biber 
Ustu için:","Verilen hamur malzemeleri  sirasiyla genis bir kaba konulur ve yavas 
yavas eklenen unla ele hafif yapisan bir hamur elde edilir.Ustu ortulerek 
15-20 dk  dinlenmeye birakilir.Dinlenen hamurdan iri ceviz buyuklugunde 
hamurlar kopartilir ve beze yapilir.Içine iç koyabilecek sekilde az bastirilir 
ve iç konur pogca sekli verilir ve unlanmis tepsiye aralikli dizilir.Yumurta 
sarisi surulur,corek otu ve susam serpilir .Birazda tepside mayasinin 
gelmesi beklenir.180 derece firinda  pismeye birakilir.Kizaran pogcalar 
firindan alindiginda nemli bez ile ustu ortulur.Iliyinca  servis yapilir.AFIYET 
OLSUN!"
Lokumlu Kurabiye,Türk,20-40dk,"1 kg fıstıklı lokum 
125 gr margarin 
1 kutu krema 
pura şekeri 
un","Margarin, krema ve un ile kulak memesi kıvamında bir hamur hazırlayın. 
Hazırladığınız hamuru ikiye bölüp, orta kalınlıkta açın. Açılmış hamurlardan 
birinin üzerine lokumları dizin ve üzerine diğer hamuru kapatın. Bir 
bardağın ağzı ile ufak ufak kesin. Önceden ısıttığınız fırında 15 dakika 
pişirin. Pudra şekerine bulayıp, servis yapın."
Girne Köfte,Türk,10-20dk,"Kıyma:500 gr 
Galeta unu:200 gr 
Yumurta:1 ad 
Soğan:1 orta boy (rende) 
Karabiber:15 
Kırmızı pul biber:10 gr 
Kimyon:10 gr 
Tuz:25 gr 
Havuç:2 ad orta boy 
Kaşar:200 gr 
Patates:4 ad haşlamalık 
Salça:75 gr 
Tereyağ:50 gr 
Domates:2 ad (konkase)ve jülyen doğranmış 
Bulyon:10 gr 
Süt:200 ml","Kıymamızı normal köfte haline getirelim. Bu köfteleri sandal şekline 
getirdikten sonra 15 dakika fırında pişirelim. Iç harcını havuçları 
rendeleyelim 25 gr tereyağla soteleyelim kara biber kırmızı pul biber 

bulyon ekleyip soteleyelim 10 dakika yeterli orta ateşte. Patatesleri 
haşlayıp püre yapalım. 
 
Domates sos: domatesleri 25 gr tereyağla soteleyelim ve 50 gr salçayla 
kavuralım ve biaraz tuz ekliyelim ve 15 dakika kaynatalım sosumuz 
hazırdır. 
Son nokta: 
köftelerimizi içine yaptığımız harcı koyalım onun üstüne patates püresine 
kreme torbası yada kaşık yardımıyla koyalım pürenin üstüne 
kaşarlarımızıda serpelim ve domates sosuyla 20 pişirelim servise hazırdır."
Balıklı Enginar Fricasse,Fransa,40-60dk,"4 adet ayıklanmış ve dondurulmuş enginar  
250 gram taze karides (donmuº ta olabilir)  
2 adet mezgit fileto (donmuº-superfresh)  
3 bardak su  
1 adet limon  

1 çay kaşığı şeker  
1 tatlı kaşığı tuz  
100 gram tereyağı  
2 adet defne yaprağı  
1 tatlı kaşığı limon suyu  
1 tatlı kaşığı üzüm sirkesi  
10 adet mantar  
2 diş sarımsak  
1 demet maydanoz  
tuz, karabiber","Enginarları bir tencereye alıp üzerine 3 bardak su, 1 adet limonun suyunu, 
1 tatlı kaşığı tuzu ve 1 çay kaşığı şekeri ilave edip yumuşayana kadar 
pişirin. Suyunu süzdükten sonra sıvı yağ ile hafif yağlanmış fırın tepsisine 
dizin.  
 
Bir tavada tereyağını eritin. Ayıklanmış ve iri parçalar halinde kesilmiş 
karidesleri ilave edip 3 dakika kavurun. Mezgit filetoları kuşbaşı 
büyüklüğünde doğrayıp ilave edin. 3 dakika kadar sonra defne 
yapraklarını, sirkeyi, dövülmüş sarmısakları, tuzu ve karabiberi ilave edin. 
Orta hararetli ateşte tahta kaşıkla devamlı çevirerek pişirin. Piştikten sonra 
defne yapraklarını çıkarın.  

 
Mantarları küçük parçalar halinde doğrayıp haşlayın. Haşlanmış ve 
doğranmış mantarları eşit miktarlarda enginarların üzerine koyun. Üzerine 
hazırladığınız karidesli ve balıklı harcı yerleştirin. Önceden ısıtılmış orta 
sıcaklıktaki (160-180oC) fırında 5 dakika pişirin.  
 
Üzerine ince kıyılmış maydanoz serpip sıcak servis yapın."
Balık Graten,Fransa,40-60dk,"½ kg sudak veya mezgit fileto  
4 adet patates (orta büyüklükte)  
250 gram brokkoli  
4 çorba kaşığı limon suyu  
250 gram krema  
2 adet yumurta  
1 çay kaşığı tatlı hardal  
1 çay kaşığı toz zencefil  

tuz  
karabiber  
sıvı yağ (kabı yağlamak için az miktarda)","Patatesleri soyup ince dilimler halinde doğrayın. Brokkoliyi saplarından 
ayırın ve saplarını dilimleyin.Her ikisini ayrı olarak haşlayın ve sonra soğuk 
su duşuna sokun.  
 
Balık filetoları 2 cm genişliğinde şeritler halinde enine kesin, tuz ve 
karabiber serpip 20 dakika kadar dinlendirin.  
 
Krema, yumurta, hardal, limon suyu ve zencefili karıştırın.  
 
Isıya dayanıklı yayvan bir kabı sıvı yağ ile hafifce yağlayın. Dibine, her 
sırayı tuzlayarak iki sıra patates halkalarını dizin. Üzerine bir sıra balık 
fileto ve bir sıra brokkoli döşeyin. Üzerine kremalı karışımı dökün. 
180oC&#8217;a ısıttığınız fırında 20 dakika kadar pişiriniz.  
 
Sıcak servis yapınız."
Balık Adago,Diger,20-40dk,"1 kg fener balığı veya mezgit fileto  
½ çorba kasesi üzüm sirkesi  
1/3 çorba kasesi soya sosu  
1 çorba kaşığı toz karabiber  
10 ila 12 adet tane karabiber  
2 adet defne yaprağı  
4 diş sarımsak  
tuz  
sıvı yağ (kızartma için)","Balık filetoyu yıkadıktan sonra orta büyüklükte parçalara ayırıp derince bir 
kaba alınız. Başka bir kapta sirke ile soya sosunu karıştırıp balıkların 
üstüne dökünüz. Dövülmüş sarımsak, toz karabiber, tane karabiber, tuz 
ve defne yapraklarını ilave edip 25-30 dakika kadar dinlendiriniz. Sonra 
karışımı kaynama noktasına gelinceye kadar ısıtınız ve bir kenara alınız.  
 

Bir tavada sıvı yağı kızdırınız. Balıkları karışımdan alıp yağda kızdırınız. 
Kızarınca sosun yarısını ilave ediniz. Karışım buharlaşmaya ve koyu bir 
kıvam almaya başlayıncaya kadar devam ediniz.  
 
Sıcak olarak kızarmış parmak patates (pommes frites) ve pilav ile birlikte 
servis yapınız."
Baharatlı Balık,Diger,20-40dk,"2 adet levrek(küçük boy-yaklaşık 300 gram/adet)  
3 adet soğan (orta boy)  
2.5 fincan zeytinyağı  
½ bardak limon suyu  
1 demet maydanoz  
5 diş sarımsak  
1 su bardağı tahin  
1 su bardağı dövülmüş ceviz içi  

Tuz  
Karabiber  
Yeni bahar  
Tarçın","Levreklerin üstünü çizin, içini ve üstünü limonlayıp, tuzlayıp 15 dakika 
kadar oda sıcaklığında bekletin. Bilahare levrekleri yağlanmış tepsiye dizip 
160-180oC&#8217;a ayarlanmış fırında 20 dakika pişirin. Sonra balıkların 
derisini ve kılçıklarını ayıplayıp çok küçük parçalara doğrayın.  
 
Çok ince doğranmış soğanları yağda kavurun (yakmayın). İnce doğranmış 
maydanoz ile ince döğülmüş sarmısağı ilave edip kavurmaya devam 
edin.Kavrulmuş karışıma limon suyu, tahin, dövülmüş ceviz, karabiber, 
bolca yenibahar ve kararınca tuz ilave edin. Karışımı bir kaba alıp balık 
etini ilave edin ve iyice karıştırın. Düz tabaklara balık şekli vererek 
yerleştirin.  
 
Soğuk servis yapılır."
Alabalık- Çin usulü,Cin,40-60dk,"4 adet alabalık (yaklaşık 1 kg)  
1 çorba kaşığı sıvı yağ  
1 demet taze soğan  
10 adet mantar  
1 parça taze zencefil (1/2 kibrit kutusu büyüklüğünde)  
1 adet yesil sivri biber (küçük boy)  
2 çorba kaşığı soya sosu  
2 çorba kaşığı beyaz şarap","Balığı boylamasına fileto çıkarın. Her iki yanını tuz ve karabiberleyip 20 
dakika kadar dinlendirin.  
 
Balıkların tamamını alabilecek ve üstünü kapabilecek büyüklükte 
aluminyum folyoyu fırın tepsisine serin. Hafif yağlayıp balık filetolarını 
yerleştirin. Bu arada fırını 180oC&#8217;a ısıtın.  
 

Bir tavada yağı kızdırın. Taze soğanı yaklaşık 2.5 cm boyunda doğrayın, 
sonra her parçayı boylamasına dörde bölün. Yeşil birerin kapağını kesin, 
çekirdek yuvalarını çıkarıp,aynen soğanlar gibi, 2.5 cm boyunda ince 
şeritler halinde doğrayın. Mantarları da büyüklüklerine göre ikiye veya 
dörde bölün. Zencefili küçük parçalar halinde doğrayın. Tamamını tavaya 
koyun, şarap ve soya sosunu da ilave edip 5 dakika kadar çevirerek 
kızartın.  
 
Karışımı folyadaki balıkların üzerine eşit tarzda dökün, folyonun üstünü ve 
kenarlarını kapatıp fırında 45 dakika pişirin.  
 
Folyolardan çıkarıp tabaklara alın ve sıcak servis yapın."
Kuzu Etli Acılı Çorba,Türk,40-60dk,"1/2 kg. kuzu kol  
2 litre su (10 su bardağı su) 

4 tane acı kuru kırmızı sivri biber 
2 çorba kaşığı tepeleme un    
2 tatlı kaşığı tuz 
1 çorba kaşığı tepeleme domates sal?sı 
1 çorba kaşığı tepeleme tereyağı","Kuzu kolu, 10 bardak su ile tuzu ilave ederek, bir taşım kaynattıktan sonra 
1.5 saat süreyle kısık ateşte pişir. Ayrı bir tencerede unu tereyağı ile 
pembeleştir, salçasını da ilave et, bir iki dakika çevir, bir kenara al. 
Haşladığın kuzu kolun suyunu süzekten geçir, kavurduğun unlu sosun 
üzerine yavaş yavaş tel ile çırparak topak topak olmayacak şekilde yedir. 
Kuzu etlerini küp şeklinde doğra ve karışıma ilave et. Kuru acı biberleri 
içine at, harlı ateşte 2 dakika süreyle kaynattıktan sonra 45 dakika 
olabildiğince kısık ateşte pişir."
Lahana Strudeli,Ispanya,60dk-Fazla,"1   küçük lahanananın dış yaprakları 
1   soğan 
25  gr tereyağı 
350 gr kıyma 
4   yemek kaşığı galeta unu 
200 gr İri rendelenmiş kaşar  
1   fincan haşlanmış barbunya 
Tuz, biber, kimyon 
 
Hamur için: 
2   bardaktan biraz az Un (250 gr) 
2   yumurta 
1   yemek kaşığı sıvı yağ 
1   tatlı kaşığı limon suyu 
1   su bardağı sıcak Su 
Tuz","Hamuru yumurtalardan birininin sarısını ayırıp diğer tüm malzemeyi 
karıştırarak yoğurun. 1 saat kadar şeffaf folyoya sarıp buzdolabında 
bekletin. 
 
Lahananın dışta kalan büyük yapraklarını ayırın. Ayıklayıp sert kısımlarını 
atın. Büyükçe bir kapta haşlayın (Haşlama suyuna yarım fincan sirke ve 1 
kaşık şeker koyarsanız tadı daha hoş olacaktır). 
 
Soğanı  küp küp kesip tereyağında kızartın. Kıyma, tuz, biber, ve kimyonu 
koyup pişirin. Daha sonra barbunyalarla karıştırın. 
 
Hamurdan  küçük bir parçayı süslemek için ayırıp kalanını tek parça olarak 
açın. İçine galeta unu ve kaşar peyniri serpin. Haşlanmış lahanaları  
hamurun üzerine aralarında boşluk kalmayacak şekilde, iki kat olarak 
dizin. Üzerine kıymalı karışımı dökün. Rulo yapın. 
 
Yağlanmış tepsiye koyun. Üzerini ayırdığınız hamurla süsleyip  yumurta 
sarısı sürün. Önceden 200 derece ısıttığınız fırında üzeri kızarana dek 
pişirin.  
 
Dilimleyerek yanında domates sosu ile servis yapın."
Hasan Paşa Köftesi,Türk,40-60dk,"4 patates 
3 ince dilim bayat ekmek, ıslatılıp sıkılmış 
2 soğan, ince doğranmış 
2 yumurta 
tuz, karabiber 
500 g kıyma 
¼ bardak süt  
1 çorba kaşığı tereyağı 
1 çorba kaşığı sıvıyağ 
2 çorba kaşığı salça 
1,5 bardak su","Patatesleri haşlayın. 

Islatılıp sıkılmış ekmek içini, ince doğranmış soğanı, 1 yumurtayı, 2 tatlı 
kaşığı tuz ve karabiberi kıymayla birlikte 2-3 dakika yoğurun. 12 parçaya 
bölüp yuvarlayın ve ortalarını elinizle bastırarak çukur tabak şekli verin.  
Tepsiyi sıvıyağ ile yağlayıp köfteleri dizin. Önceden ısıtılmış orta 
sıcaklıktaki fırında 25 dakika pişirin. 
Süt ve tereyağını birlikte ısıtıp haşlanmış patatesle birlikte iyice ezin. Kalan 
tuz ve yumurtayı ekleyip karıştırın. Püreyi kaşıkla köftelerin üzerine 
bölüştürün.  
Salça ile suyu ezip kaynayana dek ısıtın. Köftelerin aralarından tepsiye 
döküp fırında 10 dakika daha pişirin."
Kayseri Köftesi,Türk,40-60dk,"500 gr patates 
1,5 çorba kaşığı yağ 
500 gr kıyma 
1 adet soğan 

3 ince dilim bayat ekmek 
1/4 bardak süt  
1 yumurta 
1 demet maydanoz 
2 çay kaşığı tuz 
1 çay kaşığı karabiber 
1 çay kaşığı kimyon 
1/2 çay kaşığı yenibahar 
2 domates  
 
Sos için: 
1 su bardağı sıcak su 
3 kaşık salça","Patatesleri soyup 1 cm kalınlıkta dilimleyin. Yağlanmış bir tavaya dizin. 
Ağzını kapatıp rengi dönecek kadar kızartın. Bir tarafa bırakın.  
Ekmek dilimlerini süte batırarak yumuşatın, daha sonra da iyice sıkıp 
derince bir kabın içerisine koyun. Bu kaba kıymayı rendelenmiş soğanı, 
yumurtayı, incecik kıyılmış maydanozu, ve baharatları koyup iyice 
karıştırıp, yoğurun. Karışımı 12 parçaya ayırın. Yuvarlak ve yassı köfteler 
yapın. Et köftelerinin boyutlarını patateslerin boyutlarına göre ayarlayın. 

Patateslerin üzerine dizin. Et köftelerinin üzerine dilimlediğiniz domatesleri 
koyun.  
Orta hareretli fırında 30 dakika pişirin. Salçayı suda eritip köftelerin 
üzerine gezdirin. Tekrar fırına sürüp 10 dakika daha pişirin. Fırından alıp 
maydanozla süsleyip sıcak servis yapın."
"Fasulye Kavurması,",Türk,20-40dk,"/2 kg. yeşil fasulye, 
2 adet kuru soğan, 
3 adet domates, 
2 adet yumurta, 
3 yemek kaşığı tereyağ,","Fasulyeleri ayıklayıp, yarım cm. kalınlığında kıyın. Kaynar tuzlu suda 
haşlayıp süzün. Soğanı ince kıyın. Tereyağında kavurun. Domatesi 
rendeleyip ilave edin. Domates kavrulunca tuz ve karabiber ekleyin. 
Yumurtaları kırıp, hafif karıştırın. Fasulyeleri ekleyip, suyunu çekinceye 
kadar kısık ateşte pişirip, sıcak servis yapın."
Mayalı Örgü,Türk,40-60dk,"42 gr yas maya 
2 su bardagi sut 
2 çay bardagi siviyag 
2 yumurtanin aki(sarisi uzerine) 
7 yemek kasigi toz seker 
1 çay kasigi tuz","Maya,sut,siviyag,yumurta aklari,tuz ve seker  genis bir kaba konulup 
karistirilir.Un ilave edilir ve yogrulur.Hafif ele yapismasi lazim hamurun 
egerki sert olmussa elinizi sute veya suya batirarak yogurma islemine 
devam edin.Yogrulan hamuru 15-20 dk  dinlendirin(hafif mayasi gelmesi 
için)Dinlenen hamurdan  minik parcalar kopartarak uzun seritler elde edin 
ve  3 seritle  orgu yapin ve unlanmis tepsiye  aralikli dizin. Yumurta 
sarisini orgulerin ustune sur ve 15-20 dk   bekletin ve 180 derecede 
firinda pisirin.Firindan alinan  orgulerin uzerine nemli bez ortulur ve 
iliyinca servis yapilir. 
AFIYET OLSUN!"
Fırın Torbasında Sebzeli Tavuk,Türk,40-60dk,"Büyük boy fırın torbası 
4 adet tavuk kalça  
2 adet kabak 
2 orta boy soğan 
2 iri domates 
4 adet küçük taze patates 

1 çay kaçığı un 
4 çorba kaşığı kekik 
1çay kaşığı pul biber 
1 çorba kaşığı sarmısaklı tuz-ot  
(yoksa bir çorba kaşığı tuz ve 4 diş sarmısak)","Fırın 180 dereceye kadar ısıtılır. Bu arada, fırın torbasının içine bir çay 
kaşığı un dökülür. Yıkanmış tavuk kalçalar, fırın torbasına atılır. 
Domatesler dörde bölünür. Soğanın kabukları soyulup dörde 
bölünür.Patates kabukları ile (çok iyi yıkanır) ikiye bölünür. Kabak soyulup 
dörde bölünür. Kekik, pulbiber, sarmısaklı tuz ot (yoksa tuz ve sarmısak) 
hep birlikte fırın torbasına atılır. Fırın torbasının ağzı sıkıca kapatılır ve 
kürdanla yukarı tarafından 10 adet delik delinir. Isıtılmış fırına konulur. 
45dakika-1 saat pişer. Hiç su ilave etmeyin zaten, içerideki malzeme ve 
tavuklar suyunu bolca salar."
Ahtapot Izgara,Fransa,20-40dk,1 adet ahtapot,"Taze ve yeni yakalanmış ahtapot taşlara vurularak yumuşatılır. Bu işlem 
sırasında ahtapot köpük salmaya başlar ve köpükler bitene kadar bu 
işleme devam edilir. Yumuşatılmış ahtapot birkaç gün güneşte kurumaya 
bırakılır.  
 
Mangalda mangal kömürü yakılarak kor haline getirilir. Mangala 
yerleştirilen tel ızgaranın üzerine ahtapot konularak kızartılır. Kızartılmış 
ahtapot bilahare küçük parçalara doğranarak kırmızı soğan eşliğinde meze 
olarak sunulur.  
 
Sıcak veya soğuk servis yapılır."
Meyvalı Deniz Salatası,Italya,10-20dk,"15 adet küçük karides(haşlanmış ve soyulmuş)  
1 adet kırlangıç(küçük boy- 200 gram civarı)  
3 yaprak marul  
1 yaprak kırmızı lahana  
1 adet iri kırmızı turp  
1 adet elma (golden veya starking)  
1 adet armut  
1 adet limonun suyu  
Zeytinyağı (sızma)  
3 çorba kaşığı ""French Salad Dressing""  
Tuz","Marul yapraklarını iyice yıkadıktan sonra enine şeritler halinde doğrayıp 
derince bir kaba (salata kabına) alın. Kırmızı lahanayı da, önce yaprakları 
boyuna ikiye bölüp aynı sekilde doğrayın ve kaba ilave edin. Turpu 
rendeleyin ve kaba ekleyin. Elmayı soyun ve küçük küplere bölüp salataya 
ekleyin. Armutu da aynen elma gibi doğrayıp salataya ilave edin.  
 
Karidesleri dörde bölün ve salataya ilave edin.  
 

Kırlangıç balığını, içine bir çorba kaşığı sirke ilave edilmiş tuzlu suda 
haşlayın. Dışarı alıp kabuklarını ve kılçıklarını ayıklayın. Küçük parçalara 
bölüp salataya ilave edin.  
 
Salataya limon suyunu, ""French Salad Dressing""i, tuzu ve zeytinyağını 
ilave edip iyice karıştırın.  
 
Soğuk servis yapın"
Karides Yahnili Makarna,Ispanya,40-60dk,"400 gr. karides  
1 adet kuru soğan  
1 çorba kaşığı un  
½ bardak sıcak su  
3 adet domates  
½ demet maydanoz  
175 gram makarna (spagetti)  

Sıvı yağ  
2 çorba kaşığı kırmızı şarap  
Tuz  
Karabiber","Kuru soğanı ince dilimleyin. Maydanozu doğrayın. Domatesi küçük küpler 
halinde kesin.  
 
Tavada sıvı yağı kızdırın. Çiğden soyduğunuz karidesleri tavada soğanlarla 
birlikte kavurun.Üzerine un serpip tuz, biber ve domatesleri ekleyin. 
Domatesler yumuşayınca şarabı ekleyin. Sıcak su ve maydanozuda ekleyip 
kısık ateşte karıştırarak pişirin.  
 
Makarnaları tuzlu suda haşladıktan sonra kevgirde süzün. Tabaklara 
koyduktan sonra üzerleine karides yahniyi taksim ederek servis yapın.  
 
Sıcak servis yapın."
Tarama,Türk,20-40dk,"250 gram kırmızı balık yumurtası (kırmızı havyar- isºlenmemiº tarama)  
3 dilim kuru ekmek  
½ limonun suyu  
1 adet kuru soğan (küçük boy)  
2 diş sarmısak  
½ çay bardağı zeytinyağı  
su  
tuz","Kuru ekmek dilimlerinin içlerini avuçlarınızın içiyle ufalayın.Yeterince su 
ilave ederek koyu bir bulamaç haline getirin. Balık yumurtaları ile birlikte 
bir kaba alın.  
 
Soğanı rendeleyin, suyu ile birlikte kaba ilave edin. Sarmısağı da ezip kaba 
koyun. Limon suyunu da koyduktan sonra beyaz bir karışım haline gelen 
kadar çırpın ( Bu işlemi mutfak robotunda da yapabilirsiniz). Zeytinyağını 
çok yavaş ilave ederek çırpmaya devam edin. Karışım homojen bir hale 
geldikten sonra tabağa alıp etrafını zeytinlerle süsleyin.  

 
Sıcak balık yemeklerinin yanında soğuk servis yapın."
Alsas Salatası,Türk,20-40dk,"2 adet patates  
2 adet yumurta  
150 gram aterina (gümüş balığı)  
1 adet pancar turşusu  
5 adet kornişon (""0"" numara hıyar turşusu)  
1 çorba kaşığı zeytinyağı  
1 çorba kaşığı üzüm sirkesi  
1 çorba kaşığı beyaz şarap  
1 çorba kaşığı kapari turşusu  
tuz","Patatesleri haşladıktan soyunuz ve püre haline getirip derince bir kaba 
alınız.  
 
Gümüş balıklarını haşlayıp fileto çıkarınız.  
 
Zeytinyağı, tuz, sirke ve beyaz şarabın yarısı ile patates püresine ilave 
edip karıştırınız. Gümüş balığının filetolarını da ekleyiniz ve dikkatli bir 
ºekilde, balıklar parçalanmadan karıştırınız.  
 
Karışımı tabağa alınız. Üzerini dilimlenmiş pancar turşusu, kornişon ve 
kapariler ile süsleyiniz. Sirke ve şarabın kalanını ilave ediniz."
Füme Balık Tabağı,Türk,10-20dk,"1 dilim somon füme  
1 dilim mersin füme  
1 dilim lakerda  

4 adet sardalya tuzlama  
4 sap dereotu  
2 adet salatalık  
2 adet domates  
4 adet marul yaprağı  
4 ince dilim rokfor peyniri","Domatesleri dörde bölüp birer adet marul yaprağı ile birlikte tabakların 
ortasına koyun.  
 
Füme dilimleri dörde bölüp rolu yapın. Daha önceden en az iki saat elma 
sirkesinde dinlendirip tuzunu giderdiğiniz lakerda ve tuzlu balığı yıkayıp 
tabaklara taksim edin. Üzerlerine birer damla zeytinyağı ile limon ilave 
edin. Balıkları domatesin etrafına dizin. Aralarına soyulup dilimlenmiş 
salatalıkları ve dereotlarını yerleştirip süsleyin.  
 
Tabağın bir kenarına da bir ince dilim rokfor peynirini yerleştirin ve soğuk 
servis yapın."
Tavuklu Patlican,Türk,20-40dk,"1 kilo tavuk gogsu 
6 patlican 
3 domates 
4 sivri biber 
3 dis sarimsak 
1-2 kuru sogan 
karabiber 
kirmizi biber 
tuz 
kizartmak icin sivi yag","Patlicanlari alaca kesip 1 parmak kalinliginda yuvarlak olarak kesip tuzlu  
suda bekletip,kizgin yagda kizartiyoruz. Kagit pecetede fazla yaglarinin  
gitmesi icin bekletiyoruz. Tavuk gogsunu kucuk kupler halinde kesip,kendi  
yaginda suyu cekinceye kadar kavuruyoruz. Kup kup dogradigimiz 
soganlari , 

sarimsagi 
ve kestigimiz  
biberleri ekleyip kavurmaya devam ediyoruz. Biber ve soganlar 
diriligini kaybettiginde kup dogranmis domatesleride ekleyip pisirmeye 
devam ediyoruz. 
karabiber, kirmizi biber ve tuzu ekleyip dinlenmeye birakiyoruz. 
Bir borcama kizaran patlicanlarin yarisini  1 kat dosuyoruz. Arasina 
hazirladigimiz tavuk icini  
koyup ustune kalan patlicanlari ekliyoruz. Patlicanlarin ustune domates 
dilimleriyle susleyip.. 
yarim bardaktan fazla su ekleyip 
firina veriyoruz. Yaklasik 20 dakika 180 -200 derece firinda pisirip 
servise hazir hale geliyor...Afiyet olsun!"
Lumpia (Vietnam boregi),Diger,60dk-Fazla,"lumpia hamuru,yoksa yufka  
2 tam parca tavuk gogsu 
1 kilo soya filizi 

5 orta boy havuc 
5 pirasa 
2 orta kuru sogan","Tavugu kendi suyunda pisirin,pistikten sonra ince ince tiftin.Havucu 
rendeleyin,suyunu alin.Pirasayi cok ince kiyin,4-5 kere sicak suda 
bekletin.maksat pirasanin diriligi almak ve bir miktar pismesini saglamak. 
 
Soya filizini ayiklayabilirsiniz,ama ayiklamasanizda cok farketmiyor.Tavaya 
cok az siviyag koyun ve soganlari pembelestirin,soya filizinide ekleyip bir 
sure diriligini alin. 
 
Bu islemler bittikten sonra tum malzemeyi birbirine ekleyin.Lumpia 
hamurunun kenarina malzemeden koyun ve sigara boregi sarar gibi 
sarin.Kapatirken hamurun kenarina yumurtanin beyazini surun ve kapatin. 
 
Bol sivi yagda kizartip lumpialarinizi servise hazir hale getirin."
Sutlu Revani,Türk,20-40dk,"yarim paket margarin 
1 litre sut 
1 bardak irmik 
1 bardak toz seker 
1 vanilya","Malzemenin hepsini bir tencerede kisik ateste bir cirpici yardimiyla 
muhallebi kivamina gelinceye kadar pisirin. Kaynamasina yakin lapa gibi 
olacaktir, panik yapmayin. Servis yapacaginiz kalibi suyla islatin, 
yapismasini onlemek icin. Pisen karisimi kaliba dokun ve soguduktan 
sonra buzdolabinda servis icin bekletin. Servis yaparken uzerine tarcin 
ekleyebilirsiniz."
Rulo Borek,Türk,40-60dk,"1 su bardagi sivi yag 
1 bardak yogurt 
2 yumurta(1 yumurtanin sarisini ayir,ustune surulecek) 
1 kabartma tozu 
tuz 
un 
karabiber 
kirmizi biber 
10 orta boy haslanmis ezilmis patates","Yag, yumurta, kabartma tozu, yogurt ,tuz, un 'dan hamur yapilir. 
Hamurdan bir avuc alinip tezgahta bir merdane yardimiyla yarim cm 

kalinliginda yuvarlak olarak acilir. Icine hazirladigimiz patetesli harc konur 
ve yuvarlanip rulo haline getirilir. Rulo esit olarak 3 yada 4 parcaya kesilir 
ve tepsiye dizilir.islem kalan hamurada uygulandiktan sonra ustlerine 
yumurta sarisi surulur susam corek otu serpilip firinda 185 derecede 
pisirilir. 
Afiyet olsun!!! 
 
 
Tarif denenmistir. 
 
 
 
 
  - 2631"
Krem Santili kek,Türk,40-60dk,"1,5 su bardagi un 
1 su bardagfi seker 
5 yumurta 
1 kabartma tozu 
1 vanilya 

 
surubu:3 su bardagi seker 
3 su bardagi su 
limonun ceyregi","Seker, yumurta, un ,kabartma tozu, vanilya dan hamur elde edilir.Hamur 
yaglanmis kaliba dokulerek 180 derecede pembesinceye kadar pisirilir.Bir 
kurdan yardimiyla kontrol edebilirsiniz. 
 
Kek firindan cikinca kalibinda sogumaya birakilir, kek soguduktan sonra 
enlemesine ortadan ikiye kesilir. Bir parcasi keki pisirdigimiz kaba geri 
koyulur ve ustune krem santimiz eklenir (tup krem santi kullananlar icin 1 
tup yeterli. Evde yapilan paket krem santilerden ise istege gore 1 yada 2 
paket yapilabilir) Kekin diger yarisi ustune kapatilir. 
Soguk surup kekin ustune dokulur. Buzdolabinda sogumaya birakilir. 
Soguk olarak servis yapilir!! 
 
Tarif denenmistir."
Hindistan cevizli biskuvili toplar,Türk,60dk-Fazla,"2 paket petibor biskuvi 
yarim su bardagi sut(ilik olsun) 
1 cay kasigi nescafe 
2 yemek kasigi kakao 
yarim paket margarin(oda sicakliginda) 
yarim bardak seker 
1 vanilya 
1 yumurta 
hindistan cevizi","Sut, nescafe, kakao, margarin, seker, vanilya, yumurta ocakta kisik ateste 
cirpilarak puding kivamina gelinceye kadar pisirilir. Derin bir kapta 
ufaladigimiz biskuvilerin ustune sicakken dokulur. Harmanlayip 5 -10 
dakika dinlenmeye birakinki biskuviler sosu iyice icine ceksin. Ceviz 
buyuklugunde (daha kucuk yada daha buyuk parcalar almak istedigize 
zevkinize kalmis) parcalar alinip avuc icinde yuvarlanip top sekli 
verilir(harc elinize mutlaka bulasacaktir ve top sekli vermenizi 
engellliyecektir.Elinizi yikayip isleme devam edin.) Yaptiginiz toplari 
hindistan cevizine bulayin ve birkez daha sekil verin. Ve servise 
hazir."
Sezar salatasi,Italya,20-40dk,"atom göbek 
marul 
kıvırcık 
tere 
roka 
maydonoz 
lolorosso(kıvırcığın renklisi) 
 
sos için: 
Krema:200ml 
dere otu:1ad 
kekik:10gr 
sirke:5ml 
limon suyu:15ml 
hardal:1 çay kaşığı 
nar ekşisi:1 tatlı kaşığı 
yoğurt:100gr 
nane10gr","öncelikle yeşilliklere bıçak vurulmaz kesinlikle elimizle iri parçalar halinde 
kopartıyoruz. 

Sos yapımı: verilen malzemelerin hepsini karıştırıp salata tabağına 
aldığımız yeşilliklerin üzerine döküyoruz."
